brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
ASUS;Intel;16;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;64990
HP;Intel;8;DDR4;Windows;64;0;Casual;15.6;0;No;No;45650
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;41990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;43690
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;17.3;1;No;Yes;77990
ASUS;Intel;4;LPDDR4;Missing;32;0;Casual;0;0;No;No;21490
ASUS;Intel;16;DDR4;Windows;64;0;ThinNlight;17.3;0;No;No;58990
ASUS;AMD;16;DDR4;Windows;64;6;Casual;15.6;1;No;Yes;129990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;47990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;85990
DELL;AMD;16;DDR4;Windows;64;4;Casual;15.6;1;No;No;93990
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;57999
HP;Intel;8;DDR4;Windows;32;0;ThinNlight;14;1;No;Yes;59999
ASUS;Intel;16;DDR4;Windows;64;4;Gaming;15.6;0;No;No;66990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;77990
DELL;Intel;16;DDR4;Windows;64;4;Casual;15.6;1;No;No;79990
ASUS;AMD;16;DDR4;Windows;64;0;Casual;15.6;0;No;No;56990
Lenovo;Intel;8;DDR4;Windows;64;4;Gaming;15.6;0;No;No;79990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;41990
HP;AMD;8;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;72990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;No;63990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;63990
Infinix;Intel;8;LPDDR4X;Windows;64;0;ThinNlight;14;0;No;No;32990
ASUS;Intel;4;LPDDR4;Missing;32;0;Casual;0;0;No;No;23990
ASUS;Intel;8;DDR4;Windows;64;4;Casual;15.6;1;No;No;77990
HP;AMD;16;DDR4;Windows;64;0;Casual;13.3;1;No;Yes;65990
ASUS;Intel;16;DDR4;Windows;64;0;Casual;14;1;No;No;59990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;45490
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;No;55990
